title,category
보이스피싱에 합의부 마비… 법 바꿔 ‘재판적체’ 숨통,Social
"[취재수첩] 전북도가 말하지 않는 전주올림픽, 숫자의 이면",Social
말소車 무면허·음주운전→사고…불법체류 女외국인 영장,Social
"""알면 당선, 모르면 낙마""…선거법 '지뢰밭' 정밀해부",Social
"""차량 바퀴가 없어졌다"" 인천서 잇단 신고에 경찰 수사",Social
"""BMW 바퀴·휠 훔쳐갔다""…공영 주차장에 주차했다 날벼락",Social
"""이근안 서훈 16개...고문 관련자 상훈 박탈 전수조사 한 달이면 돼""",Social
성폭행범이 저명인사?…정명석 '교도소 독방' 특혜논란,Social
"[속보] 불법체류 20대 외국인, ‘5명 부상’ 교통사고 후 뺑소니…“강제 송환 두려워 도주” 진술",Social
"1년 치 공급 이상 無…김성환 기후부 장관, ""종량제 봉투 값 인상 없다""",Social
"""눈치껏 비켜야지""…산책하던 커플 치고 간 민폐 '러닝 크루' 되레 큰소리",Social
"""내 전처랑 통화를 해?""…죽도 휘둘러 친구 집 부순 50대",Social
2026 로스쿨 합격자 '5명 중 3명'은 SKY,Social
"김영록 ""신정훈·강기정 단일화 존중…대표 공약 잘 계승""",Social
"""집에 쓰레기 쌓아둘 일 없다"" 종량제 대란 우려 진화 나선 기후부 장관",Social
"[속보] ""친구가 전처랑 통화해서"" 1m 길이 죽도 휘두르고 돌 던진 50대男, 실형 면해",Social
HD현대미포서 20대 잠수부 사망…하청 대표 구속 송치,Social
'선수' 먼저 잠입 후 경찰 우르르 급습…사행성 PC방 단속현장 가보니,Social
"유명 번역가 황석희, '성범죄 의혹' 보도에 ""변호사와 검토 중""",Social
"번역가 황석희, ‘성범죄 전과’ 의혹…“변호사와 검토 중”",Social
"""항로이탈 vs 수심변화""…한강 유람선 좌초 원인 놓고 서울시·운영사 이견",Social
"오스코텍 주총서 이사 5인 선임…""전체 주주 이익 감안""(종합)",Social
'교수 갑질 스트레스' 숨진 전남대 대학원생 '직장내 스트레스' 산재 인정됐다,Social
"고유가에 화물차 기사들 한숨...""물동량 줄어 걱정""",Social
"KGM, ‘튜닝 페스티벌 시즌2’ 참가자 모집···1600만원 상금",Culture
"""국가유산 불나면 어쩌나""…최근 17년간 발생한 화재 피해 56건",Culture
"BTS ‘아리랑’, ‘빌보드 200’ 7번째 1위…영미 앨범차트 1위 석권",Culture
"해외 10명 중 7명 ""한류 콘텐츠 좋아""…케이팝 9년 연속 1위",Culture
유류할증료·환율 급등에도 그대로…모두투어 ‘가격고정’ 기획전,Culture
'퐁피두센터 한화' 6월 개관...피카소 작품 등 전시,Culture
"관광공사, 중국서 세일즈…플랫폼·항공·크루즈로 방한객↑",Culture
"'성범죄 전과' 보도에 황석희 번역가 ""변호사와 검토 중""",Culture
"길거리 흡연 중학생, 190㎝ 명현만 선수 훈계에…되레 경찰신고",Culture
외국인 10명 중 7명 한류 “좋아요”…한국하면? ‘K팝’,Culture
"‘역대급 실적’ 제약·바이오, 임직원 연봉 인상엔 인색?",Culture
"""난리 나니까 사과하는 척""…홍서범·조갑경 전 며느리 반발, 왜? [포크뉴스]",Culture
"국립중앙박물관, 이제 돈 낸다…5000원~1만원 거론",Culture
‘퐁피두센터 한화’ 6월 4일 여의도서 문 연다,Culture
[내일날씨] 새벽 전국 곳곳 비…오전에 대부분 그쳐,Culture
치킨 팔아 '테마파크'를 세웠다…100년째 줄서는 식당의 비결 [류재도의 테마가 있는 다이닝],Culture
20분이면 감염병 판별…유전자가위 기술로 암 진단으로도 확장,Culture
[날씨] 오늘 전국 건조함 달래줄 단비…제주·남해안 호우,Culture
"“하루 30분만 걸어라”…젊은 여성, 유방암 위험 낮춘다",Culture
"정부, '의정 갈등' 속 중증진료 유지한 병원에 1조 지급",Culture
"“버리면 손해, 다시 쓰면 절약” 고물가 시대, 식비 줄이는 ‘음식물 활용법’",Culture
재량 15%·의무 10% 절감…'성장동력' 키울 내년 예산 '승부수',Culture
"봄철 입냄새, 단순 불쾌감 아니다…구강 건조가 부르는 건강 신호",Culture
거울 앞에 차렷 하고 섰을 때 손등이 많이 보인다면 이미 ‘이 증상’,Culture
아침마다 먹었는데 '독'이었다니…의사들 절대 안 먹는 음식 3가지 [건강!톡],Culture
"전이성 간암, “경동맥 국소 치료가 전신항암보다 생존율 2배 높다”",Culture
[날씨체크] 대체적으로 흐린 하늘에 비 소식···온화한 낮 지속,Culture
아우디 'A6' 반복 결함 논란…10차례 수리에도 '기어 먹통',Culture
[부산일보 오늘의 운세] 3월 31일(음 2월 13일),Culture
"“꼿꼿한 허리·풍성한 머리숱”…94세 이길여 총장, ‘최강동안’ 근황",Culture
“납 기준치 549배” 자녀 준비물 ‘여기’서 샀다면 확인… 싼 이유 있었다,Culture
"현영, 50대 이후 어려워진 다이어트… “‘이것’ 해서 4kg 감량”",Culture
"‘11kg 감량’ 신봉선, ‘이 음식’에 푹 빠졌던데… 살 잘 빠진다고?",Culture
LDL 콜레스테롤 ‘이만큼’ 낮춰야 심근경색 위험 30% 감소,Culture
"삼성바이오로직스, 창사 첫 파업 맞나… 노조 찬성 95%",Culture
“한국은 공휴일에도 약국 연다고?”… 외국인들 감탄하는 ‘당번약국’,Culture
"“삼겹살 900원대”… 대형마트, 장바구니 물가 잡기 사활 건 ‘반값 전쟁’",Culture
“거짓말 같은 가격”… 만우절 맞이 ‘3900원 와퍼’ 출격,Culture
"‘월 2900원에 최대 7만원 적립’… G마켓, ‘꼭’ 멤버십",Culture
"“아침에 산 옷, 저녁에 입는다”… CJ온스타일, ‘오늘 도착’ 물동량 252%↑",Culture
"중앙대의료원, 남양주에 1000병상 규모 병원 건립",Culture
"한류 경험자 10명 중 7명 '한국 호감'…BTS, 영향력 있는 스타 1위",Culture
"또 조회수 대박…‘충주맨’ 김선태, BBQ 회장 만나 벌인 일",Culture
후티도 뛰어들었다… 홍해 막히면 사우디·유럽 경제 직격탄,World
"유럽 ""푸틴의 보이지 않는 손""…러, 이란 전쟁 지원 경고",World
"해병대 집결, 중동 내 미군 ‘5만명’ 돌파…이란 전면 침공 가능?",World
"트럼프·밴스, 평화·종전 언급...""이란 7개 섬에서 지상전 가능성""",World
"머스크와 xAI 세운 공동창업자 11명, 3년만에 모두 떠났다",World
"""사우디 원유, 호르무즈 통과 후 파키스탄으로""",World
"네타냐후 ""레바논에 완충지대 확장하도록 군에 지시""",World
"""트럼프, 이란에 우라늄 포기 압박하면서 무력탈취 작전도 검토""",World
트럼프 “이란과 협상 극도로 잘돼…꽤 조기에 합의할 수도”,World
"말로 안되면 군사 탈취…트럼프, 이란 우라늄 투트랙 압박",World
트럼프 “내일 20척 호르무즈 통과”…지상군은 집결 중,World
개전 한달째 포화…이란 'NPT 탈퇴검토'에 美 '하르그섬 점령' 만지작,World
"[영상] 20조짜리 美핵항모, 전선서 후퇴…세탁실 화재 수리차 지중해로",World
"""수퍼마켓 비지 않았다""…버티는 이란 뒤엔 40년 '저항경제'",World
"미군 5만명 중동 배치, 이란 “미 항모 오면 타격”… 호르무즈 전운 고조",World
"호르무즈 봉쇄 속 '이례적 통과'…사우디 원유 실은 유조선, 파키스탄행",World
러-우 하루 수백대 드론전… 주변국은 ‘영공 비상’,World
일단 에너지 전쟁은 이란이 승자…석유 판매 수익 2배로,World
확전 우려에 유가 급등…브렌트유 115달러 돌파,World
"""트럼프, 이란에 우라늄 포기 압박하면서 무력탈취 작전도 검토""",World
"中환구시보 “이란戰 한 달, 통제불능 전 휴전 압박해야”",World
트럼프 입 열기 직전 ‘7560억 베팅’…“누가 미리 알았나” 美 발칵 [핫이슈],World
"이란군 겨냥 ""악한 영혼에 저주를""…美국방, '십자군식' 군 개혁 박차",World
젤렌스키 “美 ‘하늘의 눈’ 파괴 배후? 러시아가 이란에 위성사진 제공”,World
일본 중유값 ‘40% 상승’에 목욕탕 망할라…문 앞에 “물 아껴 쓰세요”,World
"대만 학자 ""美의 이란 공격, 장기적으로 대만에 도움"" 주장",World
“후티發 홍해까지 막히면 유가 150달러”...사우디 ‘역할론’도 확대,World
'드문 통과' 사우디 원유 등 호르무즈 지나,World
[이슈톺] 미군 피해에 전쟁 비용까지...격화하는 '반트럼프' 움직임,World
"2600만 구독 中 '입시 전략가' 사망에…""가난한 학생 희망"" 수험생 애도 물결",World
"""사우디 원유, 호르무즈 통과 후 파키스탄으로""",World
“쓰레기장 안 돼” 베센트도 우려한 사모대출...재무부 직접 나섰다,World
"월가, '타코' 신호 포착…트럼프, 이란 전쟁도 물러설까",World
"""협상 잘 진행"" 트럼프, 인터뷰에서는 '하르그섬 점령' 언급[미국-이란 전쟁]",World
"이스라엘, 예루살렘 미사 금지했다가 논란일자 급히 시정(종합)",World
"4,500억 '미군의 눈' 박살났다...뻥 뚫린 방공망에 전략자산 잿더미",World
'유가 150달러로 급등' 홍해·호르무즈 '쌍방 봉쇄' 시,World
"美, 러 유조선 쿠바행 용인…트럼프 ""생존해야 하니 상관없어""(종합)",World
"트럼프 ""이란, 15개 항목 대부분 수용… 정권교체 이미 이뤄져""",World
호르무즈 이어 홍해까지 위협…국제유가 급등·亞증시 하락,World
"우크라 외무 ""美 군사 원조, 중동 등 타 지역 전용 안될 것""",World
"미군 5만명 집결…""이라크전의 20% 수준, 이란 점령 불가능""",World
"獨라인메탈 CEO ""우크라 드론 레고 수준…주부들 부엌서 만들어""",World
"美석학 로고프 ""달러 무기화에 中·유럽 '통화 해방' 속도""",World
"트럼프 ""이란 석유 원해"" 요동친 국제유가…美 지상작전 임박했나(종합)",World
"메가존클라우드, 日 아비타와 피지컬 AI 비즈니스 모델 공동개발 협력",IT
"""한국인, 연간 15일은 '대기오염 4종 물질'에 동시 노출""",IT
닻올리는 KT 박윤영호…AI 경쟁력 강화·조직 슬림화 드라이브,IT
"""배그 이은 성공작"" 펄어비스, 붉은사막 흥행에 7%대 강세 [핫종목]",IT
2024년 국내 클라우드 시장 매출 9조 돌파…25.2% ‘껑충’,IT
"우편 속 마약 잡고 침수 엘리베이터 멈춘다…정부, 생활안전 긴급기술 3종 연구 착수",IT
"GIST, 20분 내 PCR 수준 정확도 진단 유전자 검출기술 개발",IT
"컴투스, 日 애니메이션 ‘A랭크 파티’ 기반 게임 개발 ‘발표’",IT
"정신건강의사들 ""운전금지 약물 지정 우려…치료중단이 더 위험""",IT
"韓 클라우드 시장, 올해 10조원 돌파할까…""지난해 사상 최대""",IT
[AI픽] 국내 클라우드 매출 9조원 돌파…AI가 키웠다,IT
"곽동신 한미반도체 회장, 30억원 규모 자사주 추가 취득",IT
"'EQT' 더존비즈온, 공동대표 체제로 새 출발…상장폐지도 초읽기",IT
"AI 배우 쓰려면 인간만큼 비용 내라…할리우드 노조, '틸리세' 부과 추진",IT
'산부인과 의사'인데…'산부인과' 간판 뗀 의원 10곳 중 4곳,IT
"넷마블, 콘솔시장 '정조준'…글로벌 영토 넓힌다",IT
전문직·IT 업종 20·30세대 때린 AI…일자리 대체 우려 확산,IT
"KT, 구조조정 인원 2300명 복귀 시킨다",IT
"보조금 경쟁 42년 '끝'…통신3사, AI로 ‘각자의 길’ 간다",IT
IT·전문직 ‘2030’ 취업자 13만명 감소,IT
"스포티파이·넷플, 'K-수혈'로 이용자 수 급증",IT
"앱클론-종근당, 이중항체 기반 난치성 고형암 치료제 공동개발 착수",IT
“딱 이틀 먹었는데 10% 뚝”…나쁜 콜레스테롤 잡는 ‘이 음식’,IT
[검색폭발 이슈키워드] 터보퀀트,IT
‘막무가내 트럼프’에 수학자들도 공분…“미국 개최 ‘수학 노벨상’ 거부”,IT
"""지아이텍, ESS 타고 실적 반등…연 매출 430억 전망""",IT
유튜브 쇼핑 문턱 낮아진다…가입 요건 '구독자 500명' 완화,IT
"환자 80%가 ""증상? 없었어요""…65세 이상은 매년 결핵 검진해야",IT
"""월회비 2900원으로 최대 7만원 적립""…지마켓, '꼭' 멤버십 공개",IT
“값비싼 귀금속대신 니켈” 원하는 효능 합성…부작용 없는 신약개발 청신호,IT
"HLB, 담관암 신약 美 FDA 우선심사 지정…""9월 내 승인 결정""",IT
"[IT카페]""SKT와 달라야 하는데…"" 유심 교체 앞 분주한 LG유플러스",IT
"김한근 강릉시장 예비후보 ""AI데이터센터 사업은 제2 대왕고래""",IT
"청소년 10명 중 4명 사이버폭력 경험… ""모르는 사람이 더 무섭다""",IT
"""여기는 달로 가는 우주선입니다"" [지금은 우주]",IT
"""유인 달 탐사 준비완료""…아르테미스 2호, 4월 1일 발사 [우주로 간다]",IT
"박윤영號, 7광역본부 해체·물갈이…'김영섭 지우기' 본격화",IT
뽑아도 또 자라는 불법웹툰…보안기술·공식번역 '속도전',IT
"[리뷰] 니콘 대표 표준 줌 렌즈, '더 편한 렌즈'로 재탄생",IT
"""나도 모르게 붉며 들었다""…'붉은사막'에 27만 명 동시에 몰렸다",IT
"한국인, 연간 보름꼴로 미세먼지·오존 등 4중 대기오염에 동시 노출",IT
"AI 토큰값 90% 폭락해도 기업 부담 커진다는데, 왜?",IT
구독자 500명 유튜버도 돈번다…유튜브 쇼핑 제휴 요건 완화,IT
"한국인, 연 15일 ‘복합 대기오염’ 노출… 4개 물질 동시 초과",IT
